"id","Tipografía","Reconocimientos"
"17","Optica Normal","Designpreis Deutschland Nominee 2010, Bienal de Tipografía Latinoamericana. Certificado de Excelencia 2010, Type Directors Club. Certificado de excelencia 2008, Type Directors Club. Jugdge's Choice 2008"
"18","MiniBlock","Bienal de Tipografía Latinoamericana. Selección 2010"
"19","Mestiza","Bienal de Tipografía Latinoamericana. Selección 2022"
"59","Lagarto","Type Directors Club. Certificado de excelencia 2001, bukva:raz! 2001"
"60","Darka","Type Directors Club. Certificado de excelencia 2005, Bienal de Tipografía Latinoamericana. Selección 2006"
"62","Fulgora","Bienal de Tipografía Latinoamericana. Selección 2004"
"65","Mexica","Type Directors Club. Certificado de excelencia 1999"
"66","Wordless Script","Bienal de Tipografía Latinoamericana. Selección 2022"
"68","Espinosa Nova","Type Directors Club. Certificado de excelencia 2009, Bienal de Tipografía Latinoamericana. Certificado de Excelencia 2010, Communication Arts Typography Award 2011, Bienal de Tipografía Latinoamericana. Selección 2004"
"69","Terafile","Bienal de Tipografía Latinoamericana. Selección 2016, Bienal de Tipografía Latinoamericana. Selección 2018, Premio a! Diseño 2021"
"70","Identa","Anuaria de Oro 2023, Selección CLAP 2022"
"72","Kukulkan","Bienal de Tipografía Latinoamericana. Selección 2022, Bienal de Tipografía Latinoamericana. Certificado de Excelencia 2010, Bienal de Tipografía Latinoamericana. Selección 2008, Premio a! Diseño 2023"
"73","Barricada","Bienal de Tipografía Latinoamericana. Selección 2008"
"74","Zipolite Rounded","Bienal de Tipografía Latinoamericana. Selección 2014"
"75","Barrilito","Bienal de Tipografía Latinoamericana. Selección 2010, Communication Arts Typography Award 2011"
"76","Calavera","Communication Arts Typography Award 2014, Bienal de Tipografía Latinoamericana. Selección 2014"
"79","Gabriela Stencil","Premios CLAP Platinum 2019, Premios CLAP Platinum 2017, Bienal de Tipografía Latinoamericana. Selección 2018"
"80","Rosales","Anuaria México. Selección 2023, Selección CLAP 2022"
"81","Octothorpe","Bienal de Tipografía Latinoamericana. Selección 2018"
"92","Unna Romana","Bienal de Tipografía Latinoamericana. Selección 2012, Bienal de Tipografía Latinoamericana. Selección 2004"
"97","Ecstasy","Bienal de Tipografía Latinoamericana. Selección 2012"
"101","Duplicate Ionic","Type Directors Club. Certificado de excelencia 2014"
"121","Hola","Morisawa Type Design Competition. Gold Prize 2014, Bienal de Tipografía Latinoamericana. Selección 2014"
"122","Ping Round","Gold European Design Award  2019"
"123","October","Red Dot Award 2023, Special Mention Granshan 2019, Special Mention Granshan 2017"
"127","Adia","Bienal de Tipografía Latinoamericana. Selección 2022"
"132","Agony","Bienal de Tipografía Latinoamericana. Selección 2012"
"133","Vecchia","Bienal de Tipografía Latinoamericana. Certificado de Excelencia 2008"
"136","Keizer","Selección CLAP 2020"
"137","Leidener","Selección CLAP 2015"
"138","Blacken","Bienal de Tipografía Latinoamericana. Selección 2022, Selección CLAP 2021"
"144","Blackmoon FY","Bienal de Tipografía Latinoamericana. Selección 2014"
"160","Mictlán","Bienal Nacional de Diseño 2017"
"161","Vista Hermosa","Premio Nacional de Diseño: Diseña México. Ganador absoluto 2023"
"162","Mr. Porfirio","Premio Nacional de Diseño: Diseña México. Ganador absoluto 2021"
"166","Pólvora","Bienal de Tipografía Latinoamericana. Selección 2006"
"167","LED Gothic","Bienal de Tipografía Latinoamericana. Selección 2004"
"183","Sonotipo","Bienal de Tipografía Latinoamericana. Selección 2016"
"184","Arcana","bukva:raz! 2001, Type Directors Club. Certificado de excelencia 1999"
"186","Bunker","Type Directors Club. Certificado de excelencia 2005"
"190","Barronegro","Bienal de Tipografía Latinoamericana. Selección 2008"
"194","Confundida Regular","Bienal de Tipografía Latinoamericana. Selección 2004"
"195","Demasiado Corazón","Bienal de Tipografía Latinoamericana. Selección 2004"
"197","La Mancha","Bienal de Tipografía Latinoamericana. Selección 2008"
"198","Tzompantli","Bienal de Tipografía Latinoamericana. Selección 2004"
"199","Galia","Bienal de Tipografía Latinoamericana. Selección 2008"
"202","Pásele","Bienal de Tipografía Latinoamericana. Selección 2008"
"203","Picacho","Bienal de Tipografía Latinoamericana. Selección 2010"
"205","Julia","Bienal de Tipografía Latinoamericana. Selección 2008"
"212","Iris","Bienal de Tipografía Latinoamericana. Selección 2022"
"213","Tlayuda","Bienal de Tipografía Latinoamericana. Selección 2022"
"215","Cemita","Gerard Unger Scholarship. Merit Award 2021"
"216","Cardone","Bienal de Tipografía Latinoamericana. Selección 2018"
"217","Xantolo","Selección CLAP 2017"
"218","Cotorra","Bienal de Tipografía Latinoamericana. Selección 2016"
"222","Lucecita Maniac","Bienal de Tipografía Latinoamericana. Selección 2010"
"223","Acanto Regia","Bienal de Tipografía Latinoamericana. Selección 2016, Type Directors Club. Certificado de excelencia 2016"
"224","Ayotzinapa","Bienal de Tipografía Latinoamericana. Selección 2016"
"225","Mika Display","Selección CLAP 2021, Premio a! Diseño 2020"
"226","Genética","Anuaria México. Selección 2023, Selección CLAP 2022, Premio Nacional de Diseño: Diseña México Mención Honorífica 2021"
"227","Basilica","Type Directors Club. Certificado de excelencia 2000"
"265","Cosmos Deco","Premio a! Diseño 2023"
"289","Todaysrounded","Selección CLAP 2020, Premio a! Diseño 2020, Premio Nacional de Diseño: Diseña México Mención Honorífica 2020"
"290","Piccola","Premios CLAP Platinum 2018"
"328","Malinali","Gerard Unger Scholarship. Merit Award 2024"
"332","Alameda","Premio Nacional de Diseño: Diseña México Mención Honorífica 2024"
"335","A million miles away","LADAWARDS 2024"
"337","Astro Regular","Bienal de Tipografía Latinoamericana. Selección 2016"
"338","Rabar Ultra Black","Bienal de Tipografía Latinoamericana. Selección 2016"
"340","Victus","Bienal de Tipografía Latinoamericana. Selección 2018"
"342","Carlota","Bienal de Tipografía Latinoamericana. Certificado de Excelencia 2010"
"343","Fabrica","Bienal de Tipografía Latinoamericana. Selección 2008"
"344","Bitso","Bienal de Tipografía Latinoamericana. Selección 2022, Premio Nacional de Diseño: Diseña México Mención Honorífica 2019"
"345","Cheetos","Bienal de Tipografía Latinoamericana. Selección 2022, Premio Nacional de Diseño: Diseña México Mención Honorífica 2023"
"346","Gatopardo Display","Bienal de Tipografía Latinoamericana. Selección 2022"
"348","Eskema","Bienal de Tipografía Latinoamericana. Selección 2016"
"349","Fondo","Type Directors Club. Certificado de excelencia 2007, Bienal de Tipografía Latinoamericana. Selección 2008"
"350","Soberana","Bienal de Tipografía Latinoamericana. Selección 2014"
"351","Phonos","Bienal de Tipografía Latinoamericana. Selección 2018"
"352","Xallitic","Bienal de Tipografía Latinoamericana. Selección 2012"
"356","Presidencia","Type Directors Club. Certificado de excelencia 2007, Bienal de Tipografía Latinoamericana. Certificado de Excelencia 2008"
"357","GMX","Bienal de Tipografía Latinoamericana. Selección 2022, LADAWARDS 2019, Premio Nacional de Diseño: Diseña México Mención Honorífica 2019, Bienal de Tipografía Latinoamericana. Certificado de Excelencia 2022, Bienal Iberoamericana de Diseño. Selección 2020"
"420","Indivisa","Premio Nacional de Diseño: Diseña México. Ganador absoluto 2018, Bienal de Tipografía Latinoamericana. Selección 2022, LADAWARDS 2019, Bienal Iberoamericana de Diseño. Selección 2020"
"421","Rotoplas","Bienal de Tipografía Latinoamericana. Selección 2022, Premio Nacional de Diseño: Diseña México. Ganador absoluto 2018, Premio Nacional de Diseño: Diseña México Mención Honorífica 2023"
"422","Mi super","Bienal de Tipografía Latinoamericana. Selección 2022, Premio Nacional de Diseño: Diseña México Mención Honorífica 2023"
"423","OCC","Premio Nacional de Diseño: Diseña México Mención Honorífica 2023"
"424","Rotoplas","Premio Nacional de Diseño: Diseña México Mención Honorífica 2018"
"425","Streiner","Bienal de Tipografía Latinoamericana. Selección 2022"
"426","Bi NeoIndustrial","Bienal de Tipografía Latinoamericana. Selección 2022, LADAWARDS 2022"
"427","Comex","Bienal de Tipografía Latinoamericana. Selección 2012"
"428","Tipografía IMPI","Premio a! Diseño 2014"
"429","Telcel Sans","Bienal de Tipografía Latinoamericana. Selección 2012, Letter.2 2011"
"430","Mundet Sans","Premios CLAP Platinum 2018"
"431","Satira Display","Bienal de Tipografía Latinoamericana. Selección 2016"
"432","Handasa","Selección CLAP 2017"
"433","Lucrecia","Bienal de Tipografía Latinoamericana. Selección 2008"
"434","Febrile","Bienal de Tipografía Latinoamericana. Selección 2014"
"435","Corvus","Bienal de Tipografía Latinoamericana. Selección 2010"
"436","Antorcha","Bienal de Tipografía Latinoamericana. Selección 2012"
"437","Gorgias","Bienal de Tipografía Latinoamericana. Selección 2014"
